Applies immediately, keeping populations and positions.|数と位置を保ったまますぐに反映されます。|생물 수와 위치를 유지한 채 즉시 적용됩니다.
Creature style saved.|生き物のスタイルを保存しました。|생물 스타일을 저장했습니다.
DesktopLife · Settings|DesktopLife · 設定|DesktopLife · 설정
Let creatures roam across your desktop|デスクトップ全体を自由に動き回る生き物たち|전체 바탕 화면을 자유롭게 돌아다니는 생물들
Save population & sizes|数とサイズを保存|생물 수와 크기 저장
Pause all|すべて一時停止|모두 일시 정지
Start / resume|開始／再開|시작 / 재개
Display layout|画面の配置|화면 배치
Detected display layout|検出された画面の配置|감지된 화면 배치
Creatures cross touching edges, following your Windows display layout.|Windows の画面配置に従い、接する端から別の画面へ移動します。|Windows 화면 배치에 따라 서로 맞닿은 가장자리를 넘어 이동합니다.
Desktop population|デスクトップ全体の数|전체 바탕 화면 생물 수
Creature settings · 12 species|生き物の設定 · 12種|생물 설정 · 12종
0 disables a species. Limit: 500 cockroaches or ants, 100 others. Sizes: 10–300%.|0で非表示。ゴキブリとアリは500匹、その他は100匹まで。サイズ：10～300%。|0이면 숨김. 바퀴벌레와 개미는 최대 500마리, 나머지는 100마리. 크기: 10~300%.
Count|数|수
Min %|最小 %|최소 %
Max %|最大 %|최대 %
All displays share one population. Adding a display keeps the same counts.|すべての画面で数を共有します。画面を追加しても数は増えません。|모든 화면이 생물 수를 공유합니다. 화면을 추가해도 수는 늘지 않습니다.
Fly · always one|ハエ · 常に1匹|파리 · 항상 1마리
Orbits the cursor · lands and grooms for 3 seconds after a click|カーソルの周りを飛行 · クリック後3秒間止まって脚をこすります|커서 주변을 비행 · 클릭 후 3초간 앉아서 다리를 비빕니다
Cockroaches|ゴキブリ|바퀴벌레
Crawls and avoids the cursor · 0–500|カーソルを避けて歩く · 0～500|커서를 피하며 기어 다님 · 0~500
Ants|アリ|개미
Fast walkers that avoid the cursor · 0–500|カーソルを避けて素早く歩く · 0～500|커서를 피하며 빠르게 걸음 · 0~500
Caterpillars|イモムシ|애벌레
Slow, rippling crawl · 0–100|ゆっくり体をくねらせて進む · 0～100|천천히 꿈틀거리며 이동 · 0~100
Total cockroaches|ゴキブリの総数|바퀴벌레 총수
Total ants|アリの総数|개미 총수
Total caterpillars|イモムシの総数|애벌레 총수
Cockroach count slider|ゴキブリの数のスライダー|바퀴벌레 수 슬라이더
Ant count slider|アリの数のスライダー|개미 수 슬라이더
Caterpillar count slider|イモムシの数のスライダー|애벌레 수 슬라이더
Set a creature count to 0 to disable it. Closing this window keeps DesktopLife running.|数を0にすると非表示になります。このウィンドウを閉じても動作は続きます。|생물 수를 0으로 설정하면 숨겨집니다. 이 창을 닫아도 DesktopLife는 계속 실행됩니다.
Language|言語|언어
Global shortcuts|グローバルショートカット|전역 단축키
Pause|一時停止|일시 정지
Save shortcuts|ショートカットを保存|단축키 저장
Focus a field and press a shortcut; Backspace clears it. Shortcuts work globally while DesktopLife is running.|入力欄を選んでキーを押してください。Backspaceで消去。DesktopLifeの実行中は他のアプリでも使えます。|입력란을 선택하고 단축키를 누르세요. Backspace로 지웁니다. DesktopLife 실행 중에는 모든 앱에서 사용할 수 있습니다.
Use Ctrl, Alt or Shift with a letter, digit or F1–F11.|Ctrl・Alt・Shiftと英字、数字、F1～F11を組み合わせてください。|Ctrl, Alt 또는 Shift와 문자, 숫자, F1~F11을 조합하세요.
Start and pause must use different shortcuts.|開始と一時停止には別のショートカットを指定してください。|시작과 일시 정지에는 서로 다른 단축키를 지정하세요.
A shortcut is unavailable. Changes were not saved; choose another combination.|ショートカットが使用中です。保存していません。別の組み合わせを選んでください。|사용할 수 없는 단축키입니다. 변경 사항은 저장되지 않았습니다. 다른 조합을 선택하세요.
Could not save. Settings are unchanged; check access to the settings folder.|保存できませんでした。設定は変更されていません。設定フォルダーの権限を確認してください。|저장하지 못했습니다. 설정은 변경되지 않았습니다. 설정 폴더의 접근 권한을 확인하세요.
Shortcuts saved and active.|ショートカットを保存し、有効にしました。|단축키를 저장하고 적용했습니다.
Language saved.|言語を保存しました。|언어를 저장했습니다.
Enter whole numbers: cockroaches and ants 0–500; all other creatures 0–100.|整数を入力してください。ゴキブリとアリは0～500、その他は0～100です。|정수를 입력하세요. 바퀴벌레와 개미는 0~500, 나머지는 0~100입니다.
Population saved for the next launch.|数を保存しました。次回起動時に復元します。|생물 수를 저장했습니다. 다음 실행 시 복원됩니다.
Saved settings could not be read. Defaults are in use.|設定を読み込めないため、初期値を使用しています。|저장된 설정을 읽지 못해 기본값을 사용합니다.
Primary|メイン|기본
Settings…|設定…|설정…
Exit|終了|종료
DesktopLife · Screen saver settings|DesktopLife · スクリーンセーバー設定|DesktopLife · 화면 보호기 설정
Could not read the previous settings; defaults are shown.|以前の設定を読み込めないため、初期値を表示しています。|이전 설정을 읽지 못해 기본값을 표시합니다.
Save to apply the scene and both populations. Desktop settings stay separate.|保存するとシーンと両方の数を適用します。デスクトップ設定とは別に保存されます。|저장하면 장면과 두 생물 그룹의 수를 적용합니다. 바탕 화면 설정과 별도로 저장됩니다.
Save screen saver|スクリーンセーバー設定を保存|화면 보호기 저장
Background|背景|배경
Dark|ダーク|어둡게
Light|ライト|밝게
Cute|かわいい|귀여움
Background image|背景画像|배경 이미지
Using a solid background|単色の背景を使用|단색 배경 사용 중
Image unavailable; the screen saver will use a solid background.|画像を読み込めないため、単色の背景を使用します。|이미지를 사용할 수 없어 단색 배경을 사용합니다.
Choose image…|画像を選択…|이미지 선택…
Use solid color|単色に戻す|단색으로 복원
Fills each screen without distortion, cropping the edges. Saving keeps a copy of the image.|縦横比を保って画面を埋め、端を切り取ります。保存時に画像のコピーを保持します。|비율을 유지하며 화면을 채우고 가장자리는 잘립니다. 저장할 때 이미지 사본을 보관합니다.
Cannot read the image. Choose a valid PNG, JPG or BMP.|画像を読み込めません。有効なPNG・JPG・BMPを選んでください。|이미지를 읽을 수 없습니다. 올바른 PNG, JPG 또는 BMP를 선택하세요.
Rain on your screen|画面に雨の窓を|화면 위의 빗방울 창
Drops gather, slide and merge. The screen saver plays automatically; real mouse or keyboard input exits. Desktop rain supports pointer interaction and click fractures.|水滴がたまり、滑り落ちて合体します。スクリーンセーバーでは自動再生し、実際のマウスやキー入力で終了します。デスクトップではポインター操作とクリックによるひび割れを楽しめます。|물방울이 맺히고 흘러내리며 합쳐집니다. 화면 보호기에서는 자동 재생되며 실제 마우스나 키 입력으로 종료됩니다. 바탕 화면에서는 포인터 조작과 클릭 균열을 지원합니다.
Roams automatically. Move the mouse or press a key to exit.|自動で動き回ります。マウス移動やキー入力で終了します。|자동으로 돌아다닙니다. 마우스를 움직이거나 키를 누르면 종료됩니다.
Ocean creatures · 12 species|海の生き物 · 12種|바다 생물 · 12종
Creatures · 12 species|生き物 · 12種|생물 · 12종
Counts 0–100; 0 disables a species. Sizes: 10–300%.|数は0～100、0で非表示。サイズ：10～300%。|수는 0~100, 0이면 숨김. 크기: 10~300%.
0 disables a species. Roaches and ants: up to 500; others: 100. Sizes: 10–300%.|0で非表示。ゴキブリとアリは500匹、その他は100匹まで。サイズ：10～300%。|0이면 숨김. 바퀴벌레와 개미는 최대 500마리, 나머지는 100마리. 크기: 10~300%.
Choose the automatic activation delay and sign-in option in Windows screen saver settings.|自動起動の待ち時間と再開時のサインインは、Windowsのスクリーンセーバー設定で変更できます。|자동 시작 대기 시간과 복귀 시 로그인 옵션은 Windows 화면 보호기 설정에서 변경하세요.
Enter a whole count from 0 to {0}.|数は0～{0}の整数を入力してください。|수는 0~{0}의 정수를 입력하세요.
Sizes must be 10–300%, with minimum no greater than maximum.|サイズは10～300%で、最小値は最大値以下にしてください。|크기는 10~300%이며 최소값은 최대값 이하여야 합니다.
Unable to save. Check that the settings folder is writable.|保存できません。設定フォルダーに書き込めるか確認してください。|저장할 수 없습니다. 설정 폴더에 쓸 수 있는지 확인하세요.
Windows|Windows|Windows
DesktopLife is selected in Windows|WindowsでDesktopLifeが選択されています|Windows에서 DesktopLife가 선택되었습니다
 · starts after {0} idle seconds| · 待機{0}秒後に開始| · {0}초 동안 사용하지 않으면 시작
Automatic DesktopLife screen saver is not enabled|DesktopLifeの自動スクリーンセーバーは無効です|DesktopLife 자동 화면 보호기가 활성화되지 않았습니다
Check automatic activation in Windows settings|Windows設定で自動起動を確認してください|Windows 설정에서 자동 시작 상태를 확인하세요
Unable to open the screen saver. Check that the app folder is accessible.|スクリーンセーバーを開けません。アプリのフォルダーにアクセスできるか確認してください。|화면 보호기를 열 수 없습니다. 앱 폴더에 접근할 수 있는지 확인하세요.
Unable to start the screen saver preview.|スクリーンセーバーのプレビューを開始できません。|화면 보호기 미리 보기를 시작할 수 없습니다.
Select DesktopLife, choose a wait time, then click Apply.|DesktopLifeを選び、待ち時間を設定して「適用」を押してください。|DesktopLife를 선택하고 대기 시간을 설정한 다음 적용을 누르세요.
Unable to prepare the saver. Use the portable build and check folder permissions.|スクリーンセーバーを準備できません。ポータブル版を使用し、フォルダーの権限を確認してください。|화면 보호기를 준비할 수 없습니다. 포터블 버전을 사용하고 폴더 권한을 확인하세요.
{0} displays|画面 {0} 台|화면 {0}개
{0} displays · {1} fly · {2} roaches · {3} ants · {4} caterpillars|画面{0}台 · ハエ{1} · ゴキブリ{2} · アリ{3} · イモムシ{4}|화면 {0}개 · 파리 {1} · 바퀴벌레 {2} · 개미 {3} · 애벌레 {4}
Cockroach|ゴキブリ|바퀴벌레
Ant|アリ|개미
Caterpillar|イモムシ|애벌레
Ladybug|テントウムシ|무당벌레
Ground beetle|オサムシ|딱정벌레
Earwig|ハサミムシ|집게벌레
Silverfish|シミ|좀벌레
Cricket|コオロギ|귀뚜라미
Grasshopper|バッタ|메뚜기
Mantis|カマキリ|사마귀
Stick insect|ナナフシ|대벌레
Spider|クモ|거미
Green turtle|アオウミガメ|푸른바다거북
Clownfish|クマノミ|흰동가리
Blue tang|ナンヨウハギ|블루탱
Yellow tang|キイロハギ|옐로탱
Butterflyfish|チョウチョウウオ|나비고기
Angelfish|エンゼルフィッシュ|엔젤피시
Lionfish|ミノカサゴ|쏠배감펭
Pufferfish|フグ|복어
Seahorse|タツノオトシゴ|해마
Mandarin fish|ニシキテグリ|만다린피시
Royal gramma|ロイヤルグラマ|로열그래마
Moorish idol|ツノダシ|깃대돔
Six-line wrasse|ニセモチノウオ|식스라인래스
Images|画像|이미지
